column,protocol,method,mean,std,median,min,max
25g,compound,affine,1.6753129877870319,0.5940809726380645,1.6305672676158751,0.9685413198874377,2.611389091811193
25g,compound,affine_condition_residual,1.6486944480556283,0.6050805329214992,1.5780831807694913,0.9307687430572752,2.601655426208101
25g,compound,column_mass_ratio_scaling,2.3385800601890754,0.16348160233708134,2.3671769524790354,2.069416864416773,2.5157230618590094
25g,compound,scale_only,1.6074340631031654,0.3167382361782025,1.6528882895805335,1.0761216001167524,1.8827253519822458
25g,compound,target_head_only,3.0500109328272784,0.6050220510399527,3.224184883241219,2.031680438113976,3.502675661060819
25g,compound,zero_shot,4.889352095674619,0.7480751571020695,5.060527678225473,3.662821526987501,5.549821904656429
25g,row,affine,2.08828285269644,0.5131638753897949,1.8793842038990087,1.5546903371129157,2.9019943212249912
25g,row,affine_condition_residual,2.0527788579279185,0.5212808357888042,1.856868759406445,1.4989561979506179,2.8782689024827626
25g,row,column_mass_ratio_scaling,2.6589797231549173,0.41226442531652163,2.616046985789362,2.090808822526533,3.1594879567986456
25g,row,scale_only,2.0601200836523286,0.29916571543279186,1.970673753956549,1.6735982602070831,2.418613035820003
25g,row,target_head_only,3.3761261095875073,0.42278221390721465,3.308711615976503,2.913370650341615,3.9084299425284597
25g,row,zero_shot,5.137253307694283,0.6229175834608989,5.033854598976886,4.512049157141161,5.994647956711509
40g,compound,affine,3.9158491993151294,0.9801100605444414,3.865222130033492,3.053470694749054,5.5260676964017765
40g,compound,affine_condition_residual,3.8994822139351912,0.9347461079062931,3.7802801139099635,3.097938910395752,5.4709837516903885
40g,compound,column_mass_ratio_scaling,4.330180779306668,0.3529388754866799,4.484019777137868,3.903481744937304,4.7248070917374925
40g,compound,scale_only,3.601198119149578,0.44096646686139956,3.8562443317263844,3.0428559324595903,3.9517933483353676
40g,compound,target_head_only,7.7190074475685035,0.3892438319849671,7.986357802385148,7.14898780995977,7.998463173084478
40g,compound,zero_shot,9.63588292261477,0.46347448458285123,9.885782047386272,9.020836623391785,10.092973077986656
40g,row,affine,3.320132334601902,0.8686837331673428,2.7330346087179813,2.669258602805028,4.517427002172536
40g,row,affine_condition_residual,3.2306390624629295,0.8414897400158096,2.661999593735521,2.6020900702397447,4.355500555899391
40g,row,column_mass_ratio_scaling,4.371556736252947,0.47989473695685086,4.112482068737524,3.927085780707026,4.93324970168824
40g,row,scale_only,3.6348683067105343,0.6659909140589259,3.205558473625024,3.1180657745714058,4.588244089360969
40g,row,target_head_only,7.964391661415976,1.1220257734155092,8.217404870113121,6.775436140011937,9.463065177909385
40g,row,zero_shot,9.894560224650808,1.2861081170515576,10.12670075644435,8.480183955563785,11.520311635155638
8g,compound,affine,0.8500906582151615,0.304561943290701,0.8116442772228438,0.5178796983053494,1.339898428274626
8g,compound,affine_condition_residual,0.9039875480327082,0.31662727353166714,0.8812151464804743,0.5169146265355569,1.340272753278563
8g,compound,column_mass_ratio_scaling,0.6824040063530665,0.08108233176159599,0.6506239323410047,0.6127557259403345,0.8036738124432248
8g,compound,last2,0.9301882238747765,0.10425229893127587,0.9208557958213893,0.8219345743090232,1.0989601332312529
8g,compound,scale_only,0.7348896768895964,0.21129684301012203,0.6813120231430356,0.5282931665558824,1.065336924330446
8g,compound,target_head_only,0.725007752026771,0.08369870661582085,0.7705998145415918,0.5790886118597486,0.7739658646230282
8g,compound,zero_shot,1.50681520530539,0.10533959200214689,1.5052051323443731,1.3866882017356303,1.647458730111509
8g,row,affine,0.789131685627039,0.10442766558890508,0.7736122531641931,0.6659249201979217,0.953310966571907
8g,row,affine_condition_residual,0.8153008562030271,0.1067091134630502,0.8203149262479893,0.6621551799185089,0.9517535816470769
8g,row,column_mass_ratio_scaling,0.7365374967033175,0.0812203475934579,0.7092928927889892,0.6528503400759329,0.8280927519269042
8g,row,scale_only,0.7296547037495387,0.1362810995277919,0.7184369684557849,0.6170142301382201,0.9552686559917961
8g,row,target_head_only,0.6789800003951723,0.11300412830057219,0.6526086067114127,0.5382549577011546,0.8254678128068083
8g,row,zero_shot,1.5131717964306108,0.20264982525274328,1.5056679952556866,1.2634787809722192,1.7597841425785479
