column,method,compound,row,compound_minus_row,compound_vs_row_percent
25g,affine,1.6753129877870319,2.08828285269644,-0.41296986490940824,-19.775571320531217
25g,affine_condition_residual,1.6486944480556283,2.0527788579279185,-0.4040844098722902,-19.684751151430614
25g,column_mass_ratio_scaling,2.3385800601890754,2.6589797231549173,-0.3203996629658419,-12.04972193566347
25g,scale_only,1.6074340631031654,2.0601200836523286,-0.4526860205491632,-21.97376862355562
25g,target_head_only,3.0500109328272784,3.3761261095875073,-0.32611517676022883,-9.659448911997936
25g,zero_shot,4.889352095674619,5.137253307694283,-0.24790121201966375,-4.825559441430927
40g,affine,3.9158491993151294,3.320132334601902,0.5957168647132276,17.94256387026383
40g,affine_condition_residual,3.8994822139351912,3.2306390624629295,0.6688431514722617,20.70312215448662
40g,column_mass_ratio_scaling,4.330180779306668,4.371556736252947,-0.04137595694627905,-0.9464810693900372
40g,scale_only,3.601198119149578,3.6348683067105343,-0.03367018756095641,-0.9263110715399536
40g,target_head_only,7.7190074475685035,7.964391661415976,-0.24538421384747267,-3.0810164075211532
40g,zero_shot,9.63588292261477,9.894560224650808,-0.25867730203603756,-2.6143385472714775
8g,affine,0.8500906582151615,0.789131685627039,0.06095897258812255,7.724816237696119
8g,affine_condition_residual,0.9039875480327082,0.8153008562030271,0.08868669182968114,10.877787157333273
8g,column_mass_ratio_scaling,0.6824040063530665,0.7365374967033175,-0.054133490350250946,-7.349726333356832
8g,last2,0.9301882238747765,,,
8g,scale_only,0.7348896768895964,0.7296547037495387,0.005234973140057719,0.7174589724641356
8g,target_head_only,0.725007752026771,0.6789800003951723,0.04602775163159878,6.77895543385818
8g,zero_shot,1.50681520530539,1.5131717964306108,-0.006356591125220801,-0.42008390192146416
