column,outer_seed,method,stage,inner_fold_count,best_epochs,median_best_epoch,selected_epoch,rounding_rule
25g,769539383,P0,B,5,"[185, 160, 157, 355, 94]",160.0,160,round-half-up
25g,769539383,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
25g,769539383,P1,B,5,"[55, 52, 35, 48, 44]",48.0,48,round-half-up
25g,1425370602,P0,B,5,"[79, 91, 180, 467, 259]",180.0,180,round-half-up
25g,1425370602,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
25g,1425370602,P1,B,5,"[33, 29, 105, 122, 52]",52.0,52,round-half-up
25g,536279090,P0,B,5,"[187, 143, 223, 162, 184]",184.0,184,round-half-up
25g,536279090,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
25g,536279090,P1,B,5,"[101, 69, 151, 83, 52]",83.0,83,round-half-up
25g,2767143051,P0,B,5,"[91, 89, 266, 230, 242]",230.0,230,round-half-up
25g,2767143051,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
25g,2767143051,P1,B,5,"[48, 33, 153, 129, 96]",96.0,96,round-half-up
25g,1362771960,P0,B,5,"[83, 103, 73, 264, 152]",103.0,103,round-half-up
25g,1362771960,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
25g,1362771960,P1,B,5,"[496, 37, 27, 173, 77]",77.0,77,round-half-up
40g,769539383,P0,B,5,"[471, 181, 198, 285, 244]",244.0,244,round-half-up
40g,769539383,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
40g,769539383,P1,B,5,"[490, 94, 127, 114, 191]",127.0,127,round-half-up
40g,1425370602,P0,B,5,"[277, 200, 214, 199, 159]",200.0,200,round-half-up
40g,1425370602,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
40g,1425370602,P1,B,5,"[206, 145, 96, 105, 44]",105.0,105,round-half-up
40g,536279090,P0,B,5,"[225, 255, 228, 168, 211]",225.0,225,round-half-up
40g,536279090,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
40g,536279090,P1,B,5,"[109, 206, 164, 209, 131]",164.0,164,round-half-up
40g,2767143051,P0,B,5,"[193, 198, 178, 215, 190]",193.0,193,round-half-up
40g,2767143051,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
40g,2767143051,P1,B,5,"[75, 152, 188, 94, 138]",138.0,138,round-half-up
40g,1362771960,P0,B,5,"[319, 242, 500, 185, 206]",242.0,242,round-half-up
40g,1362771960,P1,A,5,"[500, 500, 500, 500, 500]",500.0,500,round-half-up
40g,1362771960,P1,B,5,"[233, 195, 412, 83, 127]",195.0,195,round-half-up
