column,method,V1_rmse,V1_rmse,V1_mae,V1_mae,V1_r2,V1_r2,V2_rmse,V2_rmse,V2_mae,V2_mae,V2_r2,V2_r2,combined_normalized_rmse,combined_normalized_rmse
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
25g,A2_HIER_SHRINK_ORIGINAL,7.8394589684124245,2.1946948471031167,4.439636810926123,0.40233964977127107,0.2311708230037194,0.5373957608726637,10.835657975165095,2.584578790652302,6.867949177909895,0.6288882774629991,0.5466535468746836,0.19826194017231216,0.8502830058066225,0.2248365079356888
25g,A3_HIER_SHRINK_BALANCED,7.70437066297268,1.812664367291641,4.500655952630753,0.3698884000966305,0.27731521806085846,0.45512676376826916,10.960377723021377,2.5862903691973727,7.01487866123955,0.5697056499871007,0.5365855645507815,0.19997701762875192,0.843328895049565,0.19595613199453388
25g,BALANCED_JOINT_FULL128,7.6940308534859,1.7390462395099624,4.535961291906186,0.3895586345921833,0.2842413661795047,0.4358816396828257,10.99678166227093,2.5661745453277063,7.044621574444477,0.5670722897627475,0.5339128339619093,0.19867367639728126,0.8434506560409412,0.19017414140801833
25g,CORRECTED_JOINT_FULL128,7.947140788855888,2.0314338450017435,4.615596453059934,0.47428246677285174,0.2240692600719152,0.504048503565587,11.025045482392517,2.4940881587910435,7.102998381014869,0.5941586712210684,0.532581565281302,0.1922663276283035,0.8629026264841005,0.21025001311665803
25g,HIER_CW_SHARED_LAMBDA_CORRECTED,8.008652907527091,2.3294678380576777,4.521092862090997,0.44583213552387385,0.1908500970411346,0.5847541916685491,11.030658392976019,2.6037426582303564,7.113326321128009,0.6364174609445845,0.5303895131685155,0.20356764538896532,0.8677430409723261,0.23550089745811603
25g,OLD_HIER_REFERENCE,8.131997168232036,2.5562199910316674,4.518097828747608,0.5340275886302358,0.1514330855653692,0.6480897764918124,11.23130152549043,2.906420990193905,7.213245361016119,0.7756701823883351,0.5096064426430249,0.2335109075111915,0.881819270780263,0.2601275770362509
25g,paper_style_current_v2,7.408778452536362,1.4153402836955353,4.461541322827197,0.3017352647788804,0.3489682704456159,0.3584998162467804,11.111435026814734,2.498624952380193,6.967134604367944,0.5869047086112988,0.5249340692568047,0.1970858160571464,0.8257145674304758,0.16447029740663688
40g,A2_HIER_SHRINK_ORIGINAL,13.477036464910958,3.124482500996711,8.051792623072766,1.0660212495565602,0.7011590275372714,0.12372803046331914,16.627653880893213,2.4220534662547126,11.469059931054158,1.4751784831176755,0.7778065340675787,0.041967688856230166,1.41497997965826,0.29012026170284705
40g,A3_HIER_SHRINK_BALANCED,13.415813720219912,3.1792310321819963,8.13245755988582,1.1061408690220476,0.7034160662092649,0.12489793462911732,16.5824534620148,2.491178549294603,11.491244918429611,1.6495347435292038,0.7791333507372137,0.04164507755634729,1.409452252576651,0.29481918195642404
40g,BALANCED_JOINT_FULL128,13.424520186269191,3.186558641735099,8.16541452422462,1.14298910429426,0.7030563937763269,0.12498682397632715,16.559184285711762,2.4750592697369176,11.444343748242797,1.5956044837489594,0.7796651118437274,0.04189224690410715,1.4096288323379684,0.29496493021622244
40g,CORRECTED_JOINT_FULL128,13.410659862189831,3.119506776698644,8.018142088460147,1.0402867644247815,0.7037545058577797,0.1239957685555725,16.550522392093608,2.422377129428087,11.30991731002926,1.3754983161858267,0.7795911061561035,0.043517656773577565,1.4081530885437084,0.2895866543246573
40g,HIER_CW_SHARED_LAMBDA_CORRECTED,14.347636790579804,2.9694740211792063,8.93790154292206,1.241801417215136,0.6635666947102249,0.12469857240918714,17.43547005500208,2.345152284811271,12.555552825918983,1.7226787118161833,0.7566239823911433,0.03400365279644629,1.5003116926814053,0.2743753305022475
40g,OLD_HIER_REFERENCE,14.269542587183713,2.876601174435811,8.895327033226625,1.1773513343857773,0.6677152563929678,0.11973039670754444,17.4411247332782,2.2561120124868728,12.568312341224768,1.664573405843648,0.756481268553278,0.031705279914478426,1.494456702444067,0.2646044185227152
40g,paper_style_current_v2,13.109113220539323,2.5318741104342615,7.987240874441571,0.4773682695065743,0.7208965438625763,0.09526228761842101,15.896779294423913,2.1965660558201576,10.642956748434866,0.8495092720608621,0.7971981107993977,0.034594517374202674,1.369921518333949,0.23678543660150192
