seed,source_trajectory,anchor_budget,left_strategy,right_strategy,intersection_count,intersection_fraction_of_32,jaccard
157,gradient_lcmd,429,gradient_lcmd,kernel_ivr,7,0.21875,0.1228070175438596
157,gradient_lcmd,429,gradient_lcmd,gradient_maxdet,7,0.21875,0.1228070175438596
157,gradient_lcmd,429,kernel_ivr,gradient_maxdet,20,0.625,0.4545454545454545
157,gradient_lcmd,653,gradient_lcmd,kernel_ivr,5,0.15625,0.0847457627118644
157,gradient_lcmd,653,gradient_lcmd,gradient_maxdet,4,0.125,0.0666666666666666
157,gradient_lcmd,653,kernel_ivr,gradient_maxdet,15,0.46875,0.3061224489795918
157,kernel_ivr,429,gradient_lcmd,kernel_ivr,9,0.28125,0.1636363636363636
157,kernel_ivr,429,gradient_lcmd,gradient_maxdet,6,0.1875,0.1034482758620689
157,kernel_ivr,429,kernel_ivr,gradient_maxdet,15,0.46875,0.3061224489795918
157,kernel_ivr,653,gradient_lcmd,kernel_ivr,1,0.03125,0.0158730158730158
157,kernel_ivr,653,gradient_lcmd,gradient_maxdet,0,0.0,0.0
157,kernel_ivr,653,kernel_ivr,gradient_maxdet,12,0.375,0.2307692307692307
6101,gradient_lcmd,429,gradient_lcmd,kernel_ivr,8,0.25,0.1428571428571428
6101,gradient_lcmd,429,gradient_lcmd,gradient_maxdet,6,0.1875,0.1034482758620689
6101,gradient_lcmd,429,kernel_ivr,gradient_maxdet,12,0.375,0.2307692307692307
6101,gradient_lcmd,653,gradient_lcmd,kernel_ivr,1,0.03125,0.0158730158730158
6101,gradient_lcmd,653,gradient_lcmd,gradient_maxdet,0,0.0,0.0
6101,gradient_lcmd,653,kernel_ivr,gradient_maxdet,22,0.6875,0.5238095238095238
6101,kernel_ivr,429,gradient_lcmd,kernel_ivr,6,0.1875,0.1034482758620689
6101,kernel_ivr,429,gradient_lcmd,gradient_maxdet,2,0.0625,0.032258064516129
6101,kernel_ivr,429,kernel_ivr,gradient_maxdet,13,0.40625,0.2549019607843137
6101,kernel_ivr,653,gradient_lcmd,kernel_ivr,4,0.125,0.0666666666666666
6101,kernel_ivr,653,gradient_lcmd,gradient_maxdet,1,0.03125,0.0158730158730158
6101,kernel_ivr,653,kernel_ivr,gradient_maxdet,14,0.4375,0.28
