source_trajectory,anchor_budget,strategy,NRMSE_anchor,NRMSE_plus32,NRMSE_plus64,short_AULC,delta_NRMSE_32,delta_NRMSE_64
gradient_lcmd,429,gradient_lcmd,0.7770833820916706,0.7539687290669015,0.6969987605308449,0.7455049001890797,0.0231146530247691,0.0800846215608257
gradient_lcmd,429,gradient_maxdet,0.7770833820916706,0.7396704161414887,0.7286792584972117,0.7462758682179649,0.03741296595018195,0.048404123594458795
gradient_lcmd,429,kernel_ivr,0.7770833820916706,0.6946814230315621,0.6715690670241486,0.709503823794736,0.0824019590601084,0.1055143150675219
gradient_lcmd,653,gradient_lcmd,0.5630152019016498,0.5525830138220785,0.5361407927140653,0.551080505564968,0.010432188079571199,0.026874409187584353
gradient_lcmd,653,gradient_maxdet,0.5630152019016498,0.5457034432993847,0.548366647949752,0.5506971841125428,0.017311758602265047,0.0146485539518978
gradient_lcmd,653,kernel_ivr,0.5630152019016498,0.5552279362486285,0.5444470697619642,0.5544795360402178,0.007787265653021201,0.018568132139685545
kernel_ivr,429,gradient_lcmd,0.7160286990170917,0.6627659780132389,0.6469247356638019,0.6721213476768428,0.0532627210038528,0.06910396335328965
kernel_ivr,429,gradient_maxdet,0.7160286990170917,0.6897462762039785,0.6805936371608319,0.6940287221464703,0.02628242281311305,0.0354350618562598
kernel_ivr,429,kernel_ivr,0.7160286990170917,0.6912132289412383,0.6535436731262925,0.6879997075064651,0.024815470075853448,0.0624850258907992
kernel_ivr,653,gradient_lcmd,0.6216284192880587,0.5911421102800092,0.6104542584572936,0.6035917245763426,0.0304863090080495,0.011174160830765101
kernel_ivr,653,gradient_maxdet,0.6216284192880587,0.6050415005961767,0.6064424394126469,0.6095384649732647,0.01658691869188195,0.01518597987541185
kernel_ivr,653,kernel_ivr,0.6216284192880587,0.6024078049210958,0.5983090470151617,0.6061882690363529,0.019220614366962797,0.02331937227289685
