seed,source_trajectory,anchor_budget,left_strategy,right_strategy,plus32_left_minus_right,plus64_left_minus_right,short_AULC_left_minus_right
157,gradient_lcmd,429,gradient_lcmd,kernel_ivr,0.06811683466242158,0.0536193674783213,0.047463259200791086
157,gradient_lcmd,429,gradient_lcmd,gradient_maxdet,0.03613615348428845,-0.0473370950516242,0.0062338029792381455
157,gradient_lcmd,429,kernel_ivr,gradient_maxdet,-0.03198068117813313,-0.1009564625299455,-0.04122945622155294
157,gradient_lcmd,653,gradient_lcmd,kernel_ivr,0.039352690884271846,-0.000474460661413989,0.019557730276782426
157,gradient_lcmd,653,gradient_lcmd,gradient_maxdet,0.0327390136308322,-0.011822565237200378,0.013413865506116007
157,gradient_lcmd,653,kernel_ivr,gradient_maxdet,-0.006613677253439643,-0.011348104575786389,-0.0061438647706664185
157,kernel_ivr,429,gradient_lcmd,kernel_ivr,-0.004141775901568945,-0.024951305730376627,-0.008308714383378546
157,kernel_ivr,429,gradient_lcmd,gradient_maxdet,-0.008885516112887348,-0.018006393335546655,-0.00894435639033031
157,kernel_ivr,429,kernel_ivr,gradient_maxdet,-0.0047437402113184035,0.006944912394829972,-0.0006356420069517643
157,kernel_ivr,653,gradient_lcmd,kernel_ivr,-0.002305602159456299,0.02669664447082465,0.005521360037977985
157,kernel_ivr,653,gradient_lcmd,gradient_maxdet,-0.012942161106533123,0.005109476050144779,-0.00519371154073045
157,kernel_ivr,653,kernel_ivr,gradient_maxdet,-0.010636558947076824,-0.02158716842067987,-0.010715071578708435
6101,gradient_lcmd,429,gradient_lcmd,kernel_ivr,0.05045777740825719,-0.0027599804649288684,0.024538893587896293
6101,gradient_lcmd,429,gradient_lcmd,gradient_maxdet,-0.0075395276334625505,-0.01602390088110961,-0.007775739037008678
6101,gradient_lcmd,429,kernel_ivr,gradient_maxdet,-0.05799730504171974,-0.013263920416180741,-0.03231463262490497
6101,gradient_lcmd,653,gradient_lcmd,kernel_ivr,-0.04464253573737198,-0.01613809343438366,-0.026355791227282044
6101,gradient_lcmd,653,gradient_lcmd,gradient_maxdet,-0.018979872585444535,-0.01262914523417269,-0.012647222601265495
6101,gradient_lcmd,653,kernel_ivr,gradient_maxdet,0.025662663151927445,0.0035089482002109706,0.013708568626016548
6101,kernel_ivr,429,gradient_lcmd,kernel_ivr,-0.05275272595442981,0.011713430805395775,-0.02344800527586599
6101,kernel_ivr,429,gradient_lcmd,gradient_maxdet,-0.04507508026859208,-0.049331409658513015,-0.034870392548924434
6101,kernel_ivr,429,kernel_ivr,gradient_maxdet,0.007677645685837731,-0.06104484046390879,-0.011422387273058443
6101,kernel_ivr,653,gradient_lcmd,kernel_ivr,-0.020225787122717054,-0.002406221586561119,-0.010714448957998779
6101,kernel_ivr,653,gradient_lcmd,gradient_maxdet,-0.014856619525802084,0.0029141620391487377,-0.006699769253113885
6101,kernel_ivr,653,kernel_ivr,gradient_maxdet,0.00536916759691497,0.005320383625709857,0.004014679704884894
