protocol,outer_seed,inner_fold,column,sample_id,canonical_smiles,role
compound,769539383,1,4g,c32ed74eba9d7dfc4860,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,9a478db27ef04d7bb59c,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,bfe9ce431b45599fd5e6,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,00024cd15c1b4e6c6ef8,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,85c21f6446e32913c1a9,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,7937e75a777f4bf48438,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,aba0560d15516aeba617,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,0956abfd4514355d5383,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,98f205d21cdccb427f9e,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,16374e5b25572a4c37e5,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,26b3dfccf0d1cfb441c7,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,a62a679c00aad3b9b8e5,CC(C)CCOC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,812adebe27af25dc2242,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,f159b69487cebc7dcf97,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,19ac0f010c25e2c5360d,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,0fb4ba3b33f8740a6a8a,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,d15ae6c5a25f630d3055,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,e1b9d0166a4779c27067,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,d9481b0f826e3bfbbb60,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,ab49ee9538cdb7f47f70,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,585d3167bdb0e8cd6b97,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,b819ee3c169e34252d65,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,89b6013d19ba95312c59,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,a8303fe76e948da2917b,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,c16aef24cbedd5b1b875,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,331a940debe2ca50c35d,CCOC(=O)c1ccc(Cl)cc1,inner_train
compound,769539383,1,4g,66d759515aa12dcf0810,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,ac76ec24edfe8aec7fb2,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,0f3200ec8aae2a81902a,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,daa955a2af22ac0c8460,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,e19bda1298f299931245,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,7a3708dd5094bb49d459,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,ae6ebf89dbdd202b5247,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,60f62af0f813d1d7e740,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,008b682251848aa83f89,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,04533c20becd80f9b771,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,19e665b6098744dfb60c,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,cb839ce268b9ea4fa20b,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,d0cc8f9af20c2aaeb9d5,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,3016ab4b83227fcf83e4,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,e7c4d856d4d9a8d5ddbf,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,5c11321c1ad5aec4ddf1,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,b4c266d3fe67315f0adf,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,c7ab6c7042f1d1d26570,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,8d18a5b9f05363ff3a09,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,777a43423f6522997450,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,87f560465eb2acd030e0,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,8e175dc1200d398d3489,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,e7a1b39854237234e083,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,dbe53fd128925fb48a31,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,920dbde1a4d0fdf60ec7,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,81cd2078a0008c2c9cd9,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,781b8d96d8bc7c124dc9,CC(C)COC(=O)c1ccccc1,inner_train
compound,769539383,1,4g,54bc75cc4d64dac2ed48,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,7f4f64cb791c71ba0420,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,36b45fbdbace5950c108,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,b0764b94416833704b53,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,9c74e865c47b45a09229,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,54d9921472c8d46b7b9a,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,6d07662cb17b795ea5e2,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,cbedf4ab0af735b39b3a,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,92bac523bed1042d6a75,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,704ba630f25fe7f20166,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,34cf0942ff52b1b80385,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,591b1bb527d42e831f12,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,c0c1e5902a4bf388fcd0,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,7b34ee010f42fdae95b5,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,cc7cdf5cd74e85a75b8b,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,9b6741031afcd6269be1,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,d16128891be713f0643d,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,53ed31f6b009c4b99694,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,a99c0064623635fcc4dc,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,8100735734aef075ee76,O=C(OCc1ccccc1)c1ccccc1,inner_train
compound,769539383,1,4g,ce3b9d9cbe1699c7eef9,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,1effe6f049d068dc08cf,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,98d079bcc13e1a200efe,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,5523d9c41009b84d3135,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,9e1b72123bd827a51c19,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,f7684c557ad58e3a1b0b,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,476647879af7df57d509,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,d0c994e30d2f33948394,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,c641cb5b9e82e60de614,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,f82f2844c7e27afd32bb,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,96a37648a2f61cd01930,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,9603a9567c8b21458d1e,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,11fef346c358d54d3059,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,dea5f0228035f44dd102,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,3726956d81fe3954e5b7,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,dccd8753d89546cbf994,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,ef8724fc040ffeca44b7,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,e35fdc08a1113b193889,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,de0d6e67668e5ebf5036,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,28e9fea3e3293f2b8a0e,CCOC(=O)C(C(=O)OCC)c1ccccc1,inner_train
compound,769539383,1,4g,e626b5b8083ea1fd02f2,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,00a89de0e6cc7377a84b,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,95a3dcfe4436e929aa30,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,4451265787d29526a93a,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,6cd3f929d7d90a9c29b3,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,10a4c811b70ba8155044,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,f6650af9162e038d4108,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,a93701aa1a4a960e479a,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,00f7bff5f3dab9ed9f49,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,9768d61b571fc0c5ce1a,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,9ad049e65cfbfbac2282,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,f7d6c68ef2b3f637bd05,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,b7880e59ff4586b29a28,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,790d27f0fa045d91f307,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,d1eeb016c4cf20b87e92,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,6c1c34b12c66ebcf39a4,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,c640425eaf27bc406362,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,e2f15590b7142490599b,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,0389a6366b3a51fad8b5,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,4b8ba288d549f6cfc94b,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,50e113fcc37184809670,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,ad0ace61c29817c678c2,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,66da447ca0fe7160cc1c,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,bbb514661c0a49694d6a,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,8b58e9d7a710f55e49d3,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,e9dc948c0e68a88eb621,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,7caf1db075b91197ba34,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,9bbd36c8b484b5609808,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,1844eab177de5d01fab6,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,9862563d18aae2868342,COC(=O)C(=O)c1ccccc1,inner_train
compound,769539383,1,4g,2fb4bd26afd624878f05,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,f88f7a1eb991ef2927ad,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,f4ca1fa835f2cc3104d2,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,4d5bd5dcd2ca1ca97cc7,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,c2349adace8ee903700a,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,73643e9fb4158e8dc613,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,33123966b214578291a5,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,42770dd6e8757a403d93,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,116c1f9856d3b21e0832,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,0dd38abec3981f296cfb,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,35afc3cdfff849ffe8c9,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,6a14c52ea5a2435a909a,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,17ae456a18a0b9437e9a,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,67e9e23958a468891c07,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,252b32b25d20e53396b4,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,cd7c523e3df961c83524,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,df93501912d2cfcfbc41,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,3f1a96aa336ea0741b5a,CCOC(=O)c1ccc(F)cc1,inner_train
compound,769539383,1,4g,c41e4c2422a460476e8f,CCOC(=O)c1ccccc1N,inner_train
compound,769539383,1,4g,4849c7e8a804b692efb7,CCOC(=O)c1ccccc1N,inner_train
compound,769539383,1,4g,84e60b516f17f5433041,CCOC(=O)c1ccccc1N,inner_train
