mode,seed,split,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse
row,42,train,0.9279882907867432,2.114506244659424,1.1762499809265137,0.9540722966194153,3.4453155994415283,1.949637532234192,0.24283675959935522
row,42,validation,0.8656350374221802,2.489549398422241,1.3811171054840088,0.93546462059021,3.8054239749908447,2.1920371055603027,0.2791525916267682
row,42,test,0.857115626335144,2.9730522632598877,1.3641936779022217,0.8984547853469849,4.910122394561768,2.3326168060302734,0.34325168641662335
row,525,train,0.9451574087142944,1.8219079971313477,0.8896902799606323,0.9720739722251892,2.639730930328369,1.3088417053222656,0.20343127825590696
row,525,validation,0.9039557576179504,2.509620428085327,1.2764792442321777,0.9572169780731201,3.530301332473755,1.7649130821228027,0.2774948025630275
row,525,test,0.8412351608276367,2.965362787246704,1.3499144315719604,0.870739221572876,5.606662273406982,2.2274646759033203,0.36828247525329605
row,1101,train,0.9044556617736816,2.4332995414733887,1.367139220237732,0.9447867274284363,3.8053383827209473,2.2265260219573975,0.27455197594342906
row,1101,validation,0.7353755235671997,3.4603970050811768,1.6360505819320679,0.8156388998031616,5.312448024749756,2.4137723445892334,0.3878365683016055
row,1101,test,0.8754907846450806,2.8196921348571777,1.5384823083877563,0.867610514163971,6.058361530303955,2.9688222408294678,0.3662276177503447
compound,42,train,0.9046541452407837,2.3981308937072754,1.304885745048523,0.9500054121017456,3.5951783657073975,1.9796497821807861,0.2695741674999928
compound,42,validation,0.6796516180038452,3.8180956840515137,2.1854705810546875,0.7005303502082825,7.103858947753906,4.028518199920654,0.46737617919719265
compound,42,test,0.40621817111968994,6.7449259757995605,3.3582403659820557,0.44891810417175293,12.634710311889648,6.212313175201416,0.8281627868215732
compound,525,train,0.6872406005859375,4.369036674499512,2.255711793899536,0.7983924746513367,7.139900207519531,3.7692689895629883,0.5071325817580747
compound,525,validation,0.3286967873573303,6.610753536224365,3.3536009788513184,0.41116201877593994,13.524492263793945,7.45428466796875,0.8483579702016285
compound,525,test,0.5291194915771484,4.913360595703125,2.4625895023345947,0.4894370436668396,9.865765571594238,4.866948127746582,0.6246908637770368
compound,1101,train,0.9017540216445923,2.481252431869507,1.3592615127563477,0.9358370304107666,4.150825023651123,2.343999147415161,0.28496395725450324
compound,1101,validation,0.5279754400253296,4.903899669647217,2.3508965969085693,0.6422375440597534,7.524412155151367,4.131486415863037,0.5452524176279105
compound,1101,test,0.5017051696777344,5.166798114776611,2.7842862606048584,0.5230727195739746,10.438583374023438,5.805249214172363,0.6449005823330346
