sample_id,source_row_1based,canonical_smiles,canonical_index,split,seed
bbabdb9085edbb8c178b,2,CC(C)(CCl)c1ccccc1,0,test,525
96dc3dc2ebd074200228,3,CC(C)(CCl)c1ccccc1,1,test,525
6322e8f867a741eed74c,4,CC(C)(CCl)c1ccccc1,2,test,525
c2b0aff65443af0a8618,5,CC(C)(CCl)c1ccccc1,3,test,525
f4b69d88ad1d916ee71a,6,CC(C)(CCl)c1ccccc1,4,test,525
0f3559d035355b0eec80,7,CC(C)(CCl)c1ccccc1,5,test,525
d29a94054067cd60dd70,8,CC(C)(CCl)c1ccccc1,6,test,525
31d92ca6486b229184cf,9,OCCCc1ccccc1,7,train,525
8a84cca322477165b719,10,OCCCc1ccccc1,8,train,525
9cf769277f6b42d15f11,11,OCCCc1ccccc1,9,train,525
c79f29f048bbfd157f98,13,BrCCCc1ccccc1,10,train,525
df0074b49eeb620c0768,14,BrCCCc1ccccc1,11,train,525
f0097bc6b7827ef65922,15,BrCCCc1ccccc1,12,train,525
44348f5c4aea3b41ee9d,16,BrCCCc1ccccc1,13,train,525
482cb91fac7f2a936dca,17,BrCCCc1ccccc1,14,train,525
a5c6210123f05414ffc0,18,BrCCCc1ccccc1,15,train,525
a82e55e1cd19814ea307,19,BrCCCc1ccccc1,16,train,525
6ee3c70647b37dcd5417,20,ClCCCc1ccccc1,17,train,525
2c7e37ef828eb17c78fb,21,ClCCCc1ccccc1,18,train,525
7ab9c351196ad891e172,22,ClCCCc1ccccc1,19,train,525
7062ca665af0f9bba6c9,23,ClCCCc1ccccc1,20,train,525
6644e934f59d8b816b9f,24,ClCCCc1ccccc1,21,train,525
8cc7c76a92a4474d7c6a,25,ClCCCc1ccccc1,22,train,525
c883df6ea04f89f45f03,26,ClCCCc1ccccc1,23,train,525
46ed1e35ca65ace74790,27,COc1ccc(CO)cc1,24,train,525
ec581cec37da9563e756,28,COc1ccc(CO)cc1,25,train,525
c2bd8e8f13a96726e7fc,29,COc1ccc(CO)cc1,26,train,525
2909efb29670d8f2286d,31,CCOC(=O)C(C)(C)Br,27,test,525
56b391fdec7a2a622e52,32,CCOC(=O)C(C)(C)Br,28,test,525
