seed,round,model,effort,assistant_answers,queries,viewed_candidates,native_tool_calls,rejected_outputs,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
157,0,gpt-6-sol,high,3,12,125,0,0,173304,126464,5572,2935
157,1,gpt-6-sol,high,3,12,95,0,0,322291,272128,8500,4129
157,2,gpt-6-sol,high,3,12,152,0,0,488928,329728,7677,2767
157,3,gpt-6-sol,high,5,12,141,0,2,744629,507392,12821,5808
157,4,gpt-6-sol,high,3,12,132,0,0,234446,189696,4494,1697
157,5,gpt-6-sol,high,3,0,20,0,0,148424,117120,5117,1254
6101,0,gpt-6-sol,high,3,12,78,0,0,168241,127232,4817,2168
6101,1,gpt-6-sol,high,3,12,101,0,0,302367,249856,6717,2550
6101,2,gpt-6-sol,high,3,12,114,0,0,470099,416256,8040,3616
6101,3,gpt-6-sol,high,3,12,113,0,0,637169,583936,4663,235
6101,4,gpt-6-sol,high,4,12,86,0,1,411192,141952,7852,3656
6101,5,gpt-6-sol,high,3,12,115,0,0,294634,244992,7140,4096
