outer_seed,method,AULC_333_653,AULC_333_525,AULC_429_653,AULC_525_653,AULC_333_429,AULC_429_525,combined_normalized_RMSE_653,V1_RMSE_653,V2_RMSE_653,V1_R2_653,V2_R2_653
157,cw_ivr_portfolio,0.5799768404875004,0.6084858757685886,0.5471458411471739,0.5372132875658682,0.6565825056149289,0.5603892459222483,0.5220788328437126,4.017922005129727,5.318726387994629,0.7083615712499534,0.8761377340170222
157,center_width_lcmd,0.5795743452237005,0.628013913330819,0.5296407274930227,0.5069149930630228,0.6960861199286157,0.5599417067330225,0.4948091475830988,3.660337702757752,5.470630823772009,0.7579617210923575,0.8689616130682841
157,kernel_ivr,0.6047590728114584,0.6584246462697317,0.5493563874707322,0.524260712624048,0.7340320052731523,0.5828172872663114,0.520384211405941,4.058873403372175,5.130578985989249,0.7023864109287035,0.8847458749606307
157,lcmd,0.6498297894239646,0.68915730698578,0.6176541500958338,0.5908385130812416,0.724906281189603,0.6534083327819569,0.5593361563279281,4.223722405076378,5.941089765526139,0.6777206490061469,0.8454546470769293
157,hybrid,0.6262139347589945,0.6542455175078087,0.5954923752601563,0.5841665606357733,0.6978975735896172,0.6105934614260002,0.576106237754402,4.478396093489879,5.728562143694441,0.6376846364630062,0.8563138264363899
157,gradient_maxdet,0.5934615412027948,0.6460024073719759,0.5535713381939932,0.5146502419490232,0.6865386815566653,0.6054661331872865,0.4847085633763891,3.6696559672455487,5.120743784216364,0.7567278199156676,0.8851873304321137
6101,cw_ivr_portfolio,0.7298673765031864,0.7940140270145041,0.664252728117874,0.6336474007362101,0.8829682227355825,0.7050598312934256,0.6142263356328038,3.5947771590411444,6.9546238332450345,0.7867604397036809,0.7725337704462956
6101,center_width_lcmd,0.760194121162857,0.8269835120190026,0.6943511186560886,0.6600100348786387,0.9138277936786499,0.7401392303593551,0.6073721606650027,3.8555651143465255,6.003932049163232,0.7546986629725118,0.8304721022360788
6101,kernel_ivr,0.7629300848413033,0.7896512882665937,0.7346478596605197,0.722848279703368,0.8289219435964651,0.7503806329367221,0.7228726271701763,4.330557428316608,7.916809849100865,0.6905350729825177,0.7052389685053075
6101,lcmd,0.7728264991701692,0.8648606247533462,0.7077511193353251,0.6347753107954038,0.9246690521181392,0.8050521973885534,0.5666942474753714,3.2991857385699337,6.461545030899224,0.8203871666617069,0.8036448075063454
6101,hybrid,0.7468212340809071,0.8185988448851643,0.6886912107608552,0.639154817874521,0.8824579551610281,0.7547397346093007,0.5361766946205239,3.217983388534725,5.855888682010119,0.8291199245732259,0.838729376665325
6101,gradient_maxdet,0.7762725848315138,0.8057823140076869,0.7472937059360795,0.7320079910672544,0.8438899689208604,0.7676746590945132,0.7186191051352911,4.359861281405971,7.7166149937729855,0.6863327516183513,0.7199579135090528
