selection_order,canonical_index,sample_id
0,1771,aa3ac48b626bc54d5dc6
1,2414,3163a9b58f1a52a1992c
2,1919,832eaa9c6b2f7a68f2a5
3,2983,62d1db91c3839882736a
4,2190,b0802294da4fd71d0f9d
5,1898,a5f9179bfb146ad70953
6,3852,ca28db10589bf3ee4600
7,413,5d6d4ac0c1dfacbde53d
8,3622,5e4828fe9aca9bb895f2
9,2112,8db24ae10df4095ada47
10,3581,5b445b457a8b897a2d6c
11,3358,b6a2baaa0410b39ac474
12,3231,55200f8e501a16ffa0cf
13,2163,ad833f34f6b91872362d
14,3931,79cb1738d945317e5bfa
15,3215,0774ceee565be86b891c
16,1969,471287eecf7b94603e9e
17,2068,5b706e17e8412d02342f
18,1155,222a68fc192f66c1c080
19,310,ae2f8bcd2e35d23b261d
20,1251,7bfad75485e830b6d460
21,1519,c476eca5614cf9aa12d8
22,4079,b7fffd840d208b29776c
23,1539,7ee133012cffc506cac5
24,3297,cace6f00c46aea69fe39
25,2683,81507d463506a9e65e73
26,996,e6e78489d1da4066c07e
27,2433,f31b175e4f53cac6ea11
28,2675,c6924324ddd95f249df6
29,1485,185b059eb1bfc13b1497
30,1833,d3047299bd8817ee87dd
31,4120,855456da9ea892f7216b
32,983,35f2be5f5aa14265e8a4
33,2148,79ff49052bce33597828
34,3147,7ac16a6d90180a350ff0
35,2001,bc62be727bf6ded3d86e
36,2358,810b16f35a3a86f451ce
37,2304,199cdd47b9f05e12aaa1
38,3316,dee5054e9bcc457f0464
39,1207,04a2e8ad27ca641a3a12
40,3561,86cdb37fc2caaa178856
41,1719,3f51f959f0d663b61716
42,563,bc98537714d620facf79
43,3995,d9c8c8af50a10bf07765
44,1197,4d1e1e0eca90a46d77b2
45,2974,99fb49a26d4f0f1440df
46,3929,6b5982c6e1bbaadd6a95
47,77,591b1bb527d42e831f12
48,1856,4e93e36ab850bab3d594
49,830,6c99a9b10569a54b715f
50,3759,c82167c626a1495ef750
51,3192,8e330202a1983cbc02b5
52,2152,a17bcdddcf0799baeee2
53,944,73502a52708e4f9c2391
54,67,b0764b94416833704b53
55,624,302e458c5ed2285ca328
56,2027,59ce141f6f9f30603132
57,3854,654a4a40363a388cf9cb
58,1853,a15744dbeb99bc224e40
59,4131,a8313da6e9c9be0c1636
60,2686,2dbfdf9c2d5defd09f7a
61,4002,9845fd896eb72b0e149f
62,2319,db5dcc7b864e0174fcbd
63,561,10aed2ae6d65e00f993a
64,650,485f8bcfb08d6eaf3463
65,2448,96710afeabc594baa359
66,3264,8f625c2f36dcacfc8ed5
67,1598,d1093ff4ef84f3dc68c3
68,4152,0baeb34a1650e9409f2a
69,1194,c518e06b106674a1412d
70,262,3ca8d2ff798fad4faffc
71,646,7522f965f25a50c9a3bc
72,2663,2b97a1e0a6a4b944b760
73,1147,5097ef8f92148f920ca4
74,669,a928362cc115f586e865
75,1100,869ed39b28b73a5de24e
76,857,232aec9a239a600317ab
77,1659,129036e0bccc4ff7e848
78,3519,d2b2a221080a75b4729f
79,3911,e99da719af7e2c3e9a93
80,425,a99011d97b1af601fdbc
81,980,810b065b0b86ff8c9aae
82,1118,5d274cbcb3c8532e483f
83,3953,e97ed592e525b9c30dec
84,2565,cdf40bcb3f4392f8d7d1
85,1079,278eae367da048448147
86,3977,ad3ba40aa370443bc14f
87,2692,ca467c94f14b2219503e
88,280,303e517db71305479cf8
89,3902,658eecf514c6a6aa009d
90,1680,592318a94c7b0ce1eb88
91,3458,19f19f196ba5787a01b0
92,551,0a94142a35c55e5f1788
93,1491,6a11b71a3fb682d5f6da
94,4011,0dccaa29989ef4956786
95,3777,bed2f1430d0964e86fcb
96,4030,bccdbbd73be98bf008c8
97,4121,0c5c35afb3a24375c153
98,3874,f4c58d48258027bb5485
99,4066,7c6e7b244de393e8554d
100,2231,e598b9cf54086c1c64b2
101,1809,a5b35b440a2cb03e25cd
102,2395,67fa39740fcf946a3154
103,61,81cd2078a0008c2c9cd9
104,3602,e3c2b5ea1c83276cf63a
105,3459,780b13846ace50ede763
106,3639,b6788273a51c50c0e948
107,4156,6802f0b28c5a0c7b4c2a
108,3801,79362765eb92377a5970
109,1300,bf09d868ed4d68a97b40
110,3993,7e834c7b870ef7024d35
111,227,5fc63f69bdf7f0b71bbc
112,3501,afa41ea119c8062d57fa
113,1767,df71c07fd931cc29213b
114,1939,3b2c663a28a9f32bd1d3
115,2042,c9e08e156472783dee4e
116,712,79aff1183a902fa3fb7e
117,1400,f49d1b5c0b35dbe61bef
118,2218,1db0e6b02c58a5022d3e
119,2940,1d0ef0d2f4d834d5a1bb
120,3063,d5fd79e96156bc59e3fe
121,3066,b94677e12c4d6aa11d9b
122,3578,8a5443659239e3b52e14
123,406,89425cdfb228a6ebf75d
124,2532,b10935e1e299a91c24c3
125,554,303a8a967047b5307933
126,2980,b2ac848cc42390b01b9f
127,1613,70128b3aa68fb18aa17c
128,195,4b39568fb3ff725fec83
129,1617,8fa8d7ec035c6a829dc4
130,3662,5830dbb35947aa6f58f0
131,4124,4659b6752f23c0b85f08
132,1304,bad24d96575f423fe4fd
133,3027,f0fca41370ee65c05d9e
134,1250,5fd49a50595624496938
135,4046,605436d35600502e8c2e
136,3059,41133662186c9c2cfc56
137,2459,1965d663b09320f566a5
138,709,98020153aa4fb9db9b52
139,1987,183af335033005f96b97
140,548,1a55639d058c08a1a06e
141,1372,a7ed4a556d5cae1eb7e1
142,991,c32caf65e93924aeb179
143,1936,488727f2d41859d1ac45
144,1668,5cc672fc502a8346577f
145,1850,1a382a7d3a13ed7fb28f
146,2566,b7cf293311f83700cd9a
147,4018,52348febee6695107c49
148,1788,22f5284ebc07b484fc2d
149,3513,37b8d0f56019b0d4fad3
150,3144,ea9ef1bc8766196ca96d
151,2557,035c26f2979b6bb5c0b5
152,735,130a4d6f3299791112ea
153,731,d1d265fffbf8e2ffc35e
154,1035,cd1a2b4fd666ce7b0b67
155,4074,5df546d9e2f2a29dfc89
156,1110,59d8c3d932aece6945ae
157,822,60e1cb22d3dd7eda495a
158,2183,e5c683a60b64d9cc299c
159,2324,80f6a235bb59c2a7ea59
160,2355,eed75e5b0d9c27fa754c
161,2282,f82cfd3b57735b0ead3c
162,2446,855832bd4005ac7abdc6
163,16,19ac0f010c25e2c5360d
164,3693,1c74260e06ef3cc0b7b8
165,4160,9a32b65bc21fdc5f7286
166,1191,d1fba30478d2e47ba5a1
167,1145,bea7a84fdcea344896f4
168,1998,1c1d7ff3d6c495744916
169,1457,f4ec546ae74a4b3888df
