stage,split,seed,slice,n_samples,signal_A,signal_B,spearman,top5_overlap,top5_overlap_count,top10_overlap,top10_overlap_count,top20_overlap,top20_overlap_count
E1_4g_to_8g_transfer,compound,42,full,58,quantile_width,ensemble,0.5699037189701315,0.3333333333333333,3,0.3333333333333333,6,0.5,12
E1_4g_to_8g_transfer,compound,42,full,58,quantile_width,latent_distance,0.7507767079885571,1.0,3,0.6666666666666666,6,0.5833333333333334,12
E1_4g_to_8g_transfer,compound,42,full,58,ensemble,latent_distance,0.5091820726568027,0.3333333333333333,3,0.5,6,0.4166666666666667,12
E1_4g_to_8g_transfer,compound,42,common,56,quantile_width,ensemble,0.6003417634996583,0.0,3,0.3333333333333333,6,0.5,12
E1_4g_to_8g_transfer,compound,42,common,56,quantile_width,latent_distance,0.7233082706766918,0.6666666666666666,3,0.3333333333333333,6,0.5833333333333334,12
E1_4g_to_8g_transfer,compound,42,common,56,ensemble,latent_distance,0.5315105946684894,0.0,3,0.5,6,0.5,12
E1_4g_to_8g_transfer,compound,42,tail,2,quantile_width,ensemble,,0.0,1,0.0,1,0.0,1
E1_4g_to_8g_transfer,compound,42,tail,2,quantile_width,latent_distance,,0.0,1,0.0,1,0.0,1
E1_4g_to_8g_transfer,compound,42,tail,2,ensemble,latent_distance,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,compound,525,full,58,quantile_width,ensemble,0.27103263711587566,0.3333333333333333,3,0.16666666666666666,6,0.3333333333333333,12
E1_4g_to_8g_transfer,compound,525,full,58,quantile_width,latent_distance,0.722661416838414,0.6666666666666666,3,0.5,6,0.4166666666666667,12
E1_4g_to_8g_transfer,compound,525,full,58,ensemble,latent_distance,0.5032760158725277,0.3333333333333333,3,0.3333333333333333,6,0.5833333333333334,12
E1_4g_to_8g_transfer,compound,525,common,56,quantile_width,ensemble,0.2542720437457279,0.0,3,0.3333333333333333,6,0.25,12
E1_4g_to_8g_transfer,compound,525,common,56,quantile_width,latent_distance,0.691866028708134,0.3333333333333333,3,0.16666666666666666,6,0.4166666666666667,12
E1_4g_to_8g_transfer,compound,525,common,56,ensemble,latent_distance,0.5047163362952838,0.0,3,0.3333333333333333,6,0.5833333333333334,12
E1_4g_to_8g_transfer,compound,525,tail,2,quantile_width,ensemble,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,compound,525,tail,2,quantile_width,latent_distance,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,compound,525,tail,2,ensemble,latent_distance,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,compound,1101,full,58,quantile_width,ensemble,0.7782290320595656,0.6666666666666666,3,0.5,6,0.9166666666666666,12
E1_4g_to_8g_transfer,compound,1101,full,58,quantile_width,latent_distance,0.7690603655159682,0.6666666666666666,3,0.6666666666666666,6,0.75,12
E1_4g_to_8g_transfer,compound,1101,full,58,ensemble,latent_distance,0.5601501446064858,0.6666666666666666,3,0.6666666666666666,6,0.6666666666666666,12
E1_4g_to_8g_transfer,compound,1101,common,56,quantile_width,ensemble,0.7535979215806926,0.3333333333333333,3,0.6666666666666666,6,0.75,12
E1_4g_to_8g_transfer,compound,1101,common,56,quantile_width,latent_distance,0.7434109322120808,0.6666666666666666,3,0.3333333333333333,6,0.6666666666666666,12
E1_4g_to_8g_transfer,compound,1101,common,56,ensemble,latent_distance,0.511297986531296,0.6666666666666666,3,0.5,6,0.6666666666666666,12
E1_4g_to_8g_transfer,compound,1101,tail,2,quantile_width,ensemble,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,compound,1101,tail,2,quantile_width,latent_distance,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,compound,1101,tail,2,ensemble,latent_distance,,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,42,full,59,quantile_width,ensemble,0.6662185856224432,0.6666666666666666,3,1.0,6,0.6666666666666666,12
E1_4g_to_8g_transfer,row,42,full,59,quantile_width,latent_distance,0.8367036820572765,1.0,3,1.0,6,0.9166666666666666,12
E1_4g_to_8g_transfer,row,42,full,59,ensemble,latent_distance,0.5713617767387494,0.6666666666666666,3,1.0,6,0.6666666666666666,12
E1_4g_to_8g_transfer,row,42,common,56,quantile_width,ensemble,0.6098427887901573,1.0,3,0.6666666666666666,6,0.5833333333333334,12
E1_4g_to_8g_transfer,row,42,common,56,quantile_width,latent_distance,0.8090225563909774,1.0,3,1.0,6,0.8333333333333334,12
E1_4g_to_8g_transfer,row,42,common,56,ensemble,latent_distance,0.4989063568010936,1.0,3,0.6666666666666666,6,0.4166666666666667,12
E1_4g_to_8g_transfer,row,42,tail,3,quantile_width,ensemble,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,42,tail,3,quantile_width,latent_distance,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,42,tail,3,ensemble,latent_distance,1.0,1.0,1,1.0,1,1.0,1
E1_4g_to_8g_transfer,row,525,full,59,quantile_width,ensemble,0.5160724722384571,0.3333333333333333,3,0.5,6,0.5,12
