sample_id,source_row_1based,canonical_smiles,canonical_index,split,seed
c32ed74eba9d7dfc4860,2,CC(C)CCOC(=O)c1ccccc1,0,train,42
9a478db27ef04d7bb59c,3,CC(C)CCOC(=O)c1ccccc1,1,train,42
bfe9ce431b45599fd5e6,4,CC(C)CCOC(=O)c1ccccc1,2,train,42
00024cd15c1b4e6c6ef8,5,CC(C)CCOC(=O)c1ccccc1,3,train,42
85c21f6446e32913c1a9,6,CC(C)CCOC(=O)c1ccccc1,4,train,42
8a288da5928f08936524,7,CC(C)CCOC(=O)c1ccccc1,5,train,42
7937e75a777f4bf48438,8,CC(C)CCOC(=O)c1ccccc1,6,train,42
aba0560d15516aeba617,9,CC(C)CCOC(=O)c1ccccc1,7,train,42
0956abfd4514355d5383,10,CC(C)CCOC(=O)c1ccccc1,8,train,42
98f205d21cdccb427f9e,11,CC(C)CCOC(=O)c1ccccc1,9,train,42
16374e5b25572a4c37e5,12,CC(C)CCOC(=O)c1ccccc1,10,train,42
26b3dfccf0d1cfb441c7,13,CC(C)CCOC(=O)c1ccccc1,11,train,42
a62a679c00aad3b9b8e5,14,CC(C)CCOC(=O)c1ccccc1,12,train,42
6c387793968257d2f169,15,CCOC(=O)c1ccc(Cl)cc1,13,train,42
812adebe27af25dc2242,16,CCOC(=O)c1ccc(Cl)cc1,14,train,42
f159b69487cebc7dcf97,17,CCOC(=O)c1ccc(Cl)cc1,15,train,42
19ac0f010c25e2c5360d,18,CCOC(=O)c1ccc(Cl)cc1,16,train,42
0fb4ba3b33f8740a6a8a,19,CCOC(=O)c1ccc(Cl)cc1,17,train,42
d15ae6c5a25f630d3055,20,CCOC(=O)c1ccc(Cl)cc1,18,train,42
e1b9d0166a4779c27067,21,CCOC(=O)c1ccc(Cl)cc1,19,train,42
d9481b0f826e3bfbbb60,22,CCOC(=O)c1ccc(Cl)cc1,20,train,42
ab49ee9538cdb7f47f70,23,CCOC(=O)c1ccc(Cl)cc1,21,train,42
b7e013953a302595b447,24,CCOC(=O)c1ccc(Cl)cc1,22,train,42
585d3167bdb0e8cd6b97,25,CCOC(=O)c1ccc(Cl)cc1,23,train,42
b819ee3c169e34252d65,26,CCOC(=O)c1ccc(Cl)cc1,24,train,42
89b6013d19ba95312c59,27,CCOC(=O)c1ccc(Cl)cc1,25,train,42
