column,protocol,method,before_V1_rmse,after_V1_rmse,before_V2_rmse,after_V2_rmse,before_V1_r2,after_V1_r2,before_V2_r2,after_V2_r2,source_combined_nrmse_drift,backbone_l2_drift,target_head_l2_drift
25g,compound,source_anchored_full,2.4895492698065604,5.048587410611825,3.805423982193944,8.813945013206101,0.8656350283670873,0.4064060371617623,0.9354645949502125,0.624182397465733,0.3174799751184184,3.464167518876401,0.29302273652994354
25g,compound,source_anchored_shallow,2.4895492698065604,8.438279730382071,3.805423982193944,16.010448960709,0.8656350283670873,-0.6058159755134305,0.9354645949502125,-0.168726625437502,0.7565033846082202,2.147837594649333,0.352316936840248
25g,compound,standard_full_finetune,2.4895492698065604,32.358023126667064,3.805423982193944,60.92823406174273,0.8656350283670873,-22.920858683812966,0.9354645949502125,-16.447850880859807,3.6736418546634466,3.9734557994257123,0.27316149694132197
25g,compound,standard_shallow_finetune,2.4895492698065604,22.226045721838172,3.805423982193944,46.90060302057758,0.8656350283670873,-9.753054861969723,0.9354645949502125,-8.860419698913908,2.5912437224461504,1.3878271839762282,0.2472260953384461
25g,row,source_anchored_full,2.4895492698065604,5.154370971690149,3.805423982193944,8.941696254715708,0.8656350283670873,0.4072850860286475,0.9354645949502125,0.6263335204101548,0.3290519278301726,3.0329522811287726,0.2278397719111219
25g,row,source_anchored_shallow,2.4895492698065604,5.345723972514276,3.805423982193944,11.304100462963488,0.8656350283670873,0.31608959799511277,0.9354645949502125,0.40449468746308115,0.41412166865193,3.7475486489465544,0.5986137855880787
25g,row,standard_full_finetune,2.4895492698065604,22.64426224616703,3.805423982193944,41.806961148880454,0.8656350283670873,-10.279947916839497,0.9354645949502125,-6.904489067746553,2.464524574798321,4.4096996980636245,0.277653441613621
25g,row,standard_shallow_finetune,2.4895492698065604,25.48302139338855,3.805423982193944,51.837143376070614,0.8656350283670873,-13.265207808453127,0.9354645949502125,-11.224030149705197,2.9529905043604066,1.7048760289088762,0.3217690590550365
40g,compound,source_anchored_full,2.4895492698065604,5.033165613668654,3.805423982193944,9.687640667173808,0.8656350283670873,0.4360648046274135,0.9354645949502125,0.5730669088058574,0.3424407232955162,5.48092352357008,0.5407769450902786
40g,compound,source_anchored_shallow,2.4895492698065604,17.71887003423118,3.805423982193944,33.51595167796705,0.8656350283670873,-5.91880609027733,0.9354645949502125,-4.1228624778591705,1.8909970461818784,3.426863946746635,0.5630280601968993
40g,compound,standard_full_finetune,2.4895492698065604,55.46796477266305,3.805423982193944,98.37721946295055,0.8656350283670873,-70.77810235793119,0.9354645949502125,-44.63764837119362,6.329259580006562,7.775264509380615,0.5478088848871998
40g,compound,standard_shallow_finetune,2.4895492698065604,45.79922906122549,3.805423982193944,86.08384663078974,0.8656350283670873,-45.87147666949981,0.9354645949502125,-32.43768427636611,5.31729477332066,3.008882370116638,0.6153572272346332
40g,row,source_anchored_full,2.4895492698065604,6.092678285786928,3.805423982193944,10.869954248065309,0.8656350283670873,0.13733486938102796,0.9354645949502125,0.4352047501731343,0.4478871884655411,5.550790648524117,0.504325941042654
40g,row,source_anchored_shallow,2.4895492698065604,14.521892311920771,3.805423982193944,29.447971609217017,0.8656350283670873,-3.8426514697534677,0.9354645949502125,-3.053484578358682,1.5591213460301436,5.273558150668149,0.795002631220018
40g,row,standard_full_finetune,2.4895492698065604,43.603340264785956,3.805423982193944,81.12689219715982,0.8656350283670873,-40.842978440888295,0.9354645949502125,-28.767728152851163,5.018478732795929,6.322805936152155,0.5495693743661944
40g,row,standard_shallow_finetune,2.4895492698065604,41.91577237378509,3.805423982193944,83.70461101581829,0.8656350283670873,-37.451195634136766,0.9354645949502125,-30.44138450700418,4.985309632978412,3.0798911355567125,0.6420705515671469
8g,compound,source_anchored_full,2.4895492698065604,3.96357362098722,3.805423982193944,7.449049532143286,0.8656350283670873,0.6332761518766556,0.9354645949502125,0.7335388121954923,0.20561840902513873,1.0536629567518412,0.08172143852564247
8g,compound,source_anchored_shallow,2.4895492698065604,3.85155394350411,3.805423982193944,5.616602731525537,0.8656350283670873,0.6621259866447945,0.9354645949502125,0.8544277419460983,0.14608643025445012,0.7827727333090927,0.1468800314151773
8g,compound,standard_full_finetune,2.4895492698065604,6.636976486224046,3.805423982193944,11.852893239293559,0.8656350283670873,-0.16225655842263637,0.9354645949502125,0.27079510123677614,0.515820789321946,0.5532589499481073,0.03408725195568639
8g,compound,standard_shallow_finetune,2.4895492698065604,7.15852715029739,3.805423982193944,11.562949569017029,0.8656350283670873,-0.16522728728967528,0.9354645949502125,0.36801036539387255,0.5415114592022354,0.35931352415869383,0.05752275103279939
8g,row,source_anchored_full,2.4895492698065604,5.007160377532907,3.805423982193944,8.90959643847279,0.8656350283670873,0.3283217254801059,0.9354645949502125,0.55954051843164,0.3177761533941962,2.53021718439027,0.15007588225819488
8g,row,source_anchored_shallow,2.4895492698065604,3.739811175750723,3.805423982193944,6.253198838927533,0.8656350283670873,0.6890253683380339,0.9354645949502125,0.8166995370124177,0.1554662957462344,1.5820728893636486,0.2893070258363001
8g,row,standard_full_finetune,2.4895492698065604,9.858568495838506,3.805423982193944,18.75073120128977,0.8656350283670873,-1.2014040113051716,0.9354645949502125,-0.6413641024354992,0.9327274886383241,1.398470827392407,0.06668817217333847
8g,row,standard_shallow_finetune,2.4895492698065604,9.164996180160937,3.805423982193944,16.545340399741942,0.8656350283670873,-0.894973459284271,0.9354645949502125,-0.2437527006684427,0.8213608796917645,0.843293632311543,0.13548333977833238
