column,protocol,seed,budget,actual_budget,method,target,dimension,level,q33,q67,q90,n,rmse,mae,median_absolute_error
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,8.907120090212178,6.57119714556221,5.805888120904559
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,19.047715052189556,14.154731892355825,10.112246756052382
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,30.02305868723215,25.486762981071053,23.002618044541137
8g,row,769539383,30,30,conditional_policy,V2,EA,low,,,,40,22.793676021782332,13.526279763937385,7.562109010021265
8g,row,769539383,30,30,conditional_policy,V2,EA,mid,,,,55,9.997800123053736,6.345091404736006,3.671963960916967
8g,row,769539383,30,30,conditional_policy,V2,EA,high,,,,20,8.83216595718996,6.554695182541747,4.739760640888334
8g,row,769539383,30,30,target_head_only,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.901029970116447,2.4311396808641974,1.6343835833333333
8g,row,769539383,30,30,target_head_only,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,2.448752375698925,1.821962161111111,1.243074
8g,row,769539383,30,30,target_head_only,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,10.274525815277059,6.256827569892471,3.4374566666666624
8g,row,769539383,30,30,target_head_only,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,16.699774449612455,11.139101933333333,6.970667666666671
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.923127898613768,3.5926042526315776,1.655841166666666
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,1.9990020027526019,1.5840523333333334,1.2550613333333338
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,6.752927555057054,4.779080517543858,3.1296463333333318
8g,row,769539383,30,30,target_head_only,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,8.954318910683947,6.739866277777776,3.944725000000002
8g,row,769539383,30,30,target_head_only,V1,EA,low,,,,40,8.879164306183354,4.780465212499999,2.531046
8g,row,769539383,30,30,target_head_only,V1,EA,mid,,,,55,3.8225009680607096,2.3345695806060602,1.5953966666666677
8g,row,769539383,30,30,target_head_only,V1,EA,high,,,,20,3.9811570389291018,3.0141063416666665,1.9374448333333323
8g,row,769539383,30,30,target_head_only,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.737203118223823,3.8735932222222225,2.4834931666666655
8g,row,769539383,30,30,target_head_only,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,11.322030294521388,6.647300367816093,4.645536666666668
8g,row,769539383,30,30,target_head_only,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,16.983443667871892,11.080594885964912,8.127407166666666
8g,row,769539383,30,30,target_head_only,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,21.902594961536987,15.105411156862745,12.764823333333325
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,11.470986833332379,3.9168972631578938,1.9762751666666665
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,5.870806988966575,4.628266247863247,4.4968543333333315
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,16.151961958297473,12.379534508771933,10.558343999999998
8g,row,769539383,30,30,target_head_only,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,24.815282351227264,21.413738361111115,15.689138333333336
8g,row,769539383,30,30,target_head_only,V2,EA,low,,,,40,15.546886255384024,8.594604016666668,4.501253999999999
8g,row,769539383,30,30,target_head_only,V2,EA,mid,,,,55,9.796788180926074,6.173934660606061,4.398236666666666
8g,row,769539383,30,30,target_head_only,V2,EA,high,,,,20,8.09648451703391,5.820811200000001,3.5103843333333327
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.991754653321064,2.547947811111112,1.5308873500000004
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,2.6394814339233834,2.0804388777777776,1.7618268333333313
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,11.105251715183206,7.85511547311828,5.186950666666666
8g,row,769539383,30,30,standard_shallow_finetune,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,18.006581424692364,14.93514386666667,12.009314333333336
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.424007685893714,3.571908672807018,1.7978794999999996
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,2.532008251673373,1.9064015401709395,1.2776736666666668
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,8.188787654963972,6.142861530701755,4.240522500000001
8g,row,769539383,30,30,standard_shallow_finetune,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,12.097039414430963,10.61339438888889,9.830793000000003
8g,row,769539383,30,30,standard_shallow_finetune,V1,EA,low,,,,40,9.517623373867435,5.722944325,3.6892956666666663
8g,row,769539383,30,30,standard_shallow_finetune,V1,EA,mid,,,,55,4.196288587051569,2.8289062757575754,2.2625250000000037
8g,row,769539383,30,30,standard_shallow_finetune,V1,EA,high,,,,20,3.8773725753333497,2.9501654816666667,2.4296288333333336
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.520710523337878,3.849871395833334,2.6240553333333345
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.314802554151962,5.951291229885059,3.7220486666666694
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,16.02232296552056,9.375567614035086,6.55447166666667
8g,row,769539383,30,30,standard_shallow_finetune,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,21.38228894571926,11.930133470588235,7.775089999999999
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,13.328886564494226,5.105877692982455,2.1231075000000015
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,5.520615813365857,4.087152401709401,3.6007956666666665
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,12.941078820782959,9.479751210526315,7.379330500000002
8g,row,769539383,30,30,standard_shallow_finetune,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,19.420583070960344,14.208319944444446,8.844206666666661
8g,row,769539383,30,30,standard_shallow_finetune,V2,EA,low,,,,40,15.188129900760837,7.856951050000001,4.191406166666665
8g,row,769539383,30,30,standard_shallow_finetune,V2,EA,mid,,,,55,8.33549324510489,5.081728739393941,3.5303826666666662
8g,row,769539383,30,30,standard_shallow_finetune,V2,EA,high,,,,20,7.921434818096175,5.993985966666666,5.0077928333333315
8g,row,769539383,30,30,standard_full_finetune,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,5.941341623555029,4.529760499382717,3.979685500000001
8g,row,769539383,30,30,standard_full_finetune,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,4.728610841320062,4.003922935555555,3.616390016666667
8g,row,769539383,30,30,standard_full_finetune,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,22.94836916116851,16.967060777419356,11.541359
8g,row,769539383,30,30,standard_full_finetune,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,36.52954654239055,31.55795976666667,26.950809666666665
8g,row,769539383,30,30,standard_full_finetune,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,13.1317905163228,5.2070748298245615,3.4895792333333335
8g,row,769539383,30,30,standard_full_finetune,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,5.069159162275271,4.186509533333333,3.8405863333333308
8g,row,769539383,30,30,standard_full_finetune,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,17.280501180547585,13.935813784210525,10.982076166666666
8g,row,769539383,30,30,standard_full_finetune,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,25.820926954265687,23.332523055555555,23.322935333333337
8g,row,769539383,30,30,standard_full_finetune,V1,EA,low,,,,40,18.80384381171669,11.540312616666668,5.610699833333335
8g,row,769539383,30,30,standard_full_finetune,V1,EA,mid,,,,55,8.943436922047532,6.483395639999997,4.390443666666667
8g,row,769539383,30,30,standard_full_finetune,V1,EA,high,,,,20,4.241844230005231,3.6252187133333345,3.5070658833333335
8g,row,769539383,30,30,standard_full_finetune,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,7.522595573551992,5.751825384722221,4.166845666666667
8g,row,769539383,30,30,standard_full_finetune,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,14.851692601173138,10.849569666666666,7.437992000000001
8g,row,769539383,30,30,standard_full_finetune,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,36.86896674379002,25.184686499999998,18.0230205
8g,row,769539383,30,30,standard_full_finetune,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,53.23601832526328,43.43776125490196,36.27660666666666
8g,row,769539383,30,30,standard_full_finetune,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,24.2172026324146,7.808474977192982,4.0319573333333345
8g,row,769539383,30,30,standard_full_finetune,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,9.011927696606294,7.417850837606836,6.550136999999999
8g,row,769539383,30,30,standard_full_finetune,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,30.484569675122795,25.308552473684212,20.053221666666666
8g,row,769539383,30,30,standard_full_finetune,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,44.36319260185188,40.49747383333332,45.69369716666667
8g,row,769539383,30,30,standard_full_finetune,V2,EA,low,,,,40,33.46618625595661,19.707569191666668,9.5085925
8g,row,769539383,30,30,standard_full_finetune,V2,EA,mid,,,,55,15.575284441308968,10.506723208484852,6.344558966666668
8g,row,769539383,30,30,standard_full_finetune,V2,EA,high,,,,20,11.45697183754941,9.078534083333333,5.698020166666667
8g,row,769539383,30,30,source_anchored_shallow,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,4.168486768602519,2.839778128395062,1.817181666666666
8g,row,769539383,30,30,source_anchored_shallow,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,3.1236138457520752,2.450926198888889,2.444448666666667
8g,row,769539383,30,30,source_anchored_shallow,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,11.103571793602912,8.208052145161291,6.762362666666666
8g,row,769539383,30,30,source_anchored_shallow,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,17.612532061244195,14.862452866666668,11.1127155
8g,row,769539383,30,30,source_anchored_shallow,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.288766454735334,3.4389271491228075,1.7325734999999995
8g,row,769539383,30,30,source_anchored_shallow,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,2.828881956878587,2.2421531658119656,1.8991673333333328
8g,row,769539383,30,30,source_anchored_shallow,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,8.463705571458272,6.926374112280703,4.934588333333332
8g,row,769539383,30,30,source_anchored_shallow,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,11.415400671403043,10.059765222222223,10.232639333333339
8g,row,769539383,30,30,source_anchored_shallow,V1,EA,low,,,,40,9.551296112198902,6.481378005000001,4.2006315
8g,row,769539383,30,30,source_anchored_shallow,V1,EA,mid,,,,55,4.650167692870533,3.185598822424242,1.8991673333333328
8g,row,769539383,30,30,source_anchored_shallow,V1,EA,high,,,,20,3.275538573748983,2.343118298333333,1.8132710000000003
8g,row,769539383,30,30,source_anchored_shallow,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,6.598192242600474,4.781107024305555,3.2027533333333347
8g,row,769539383,30,30,source_anchored_shallow,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,11.118060627721482,7.021809195402297,4.342520666666669
8g,row,769539383,30,30,source_anchored_shallow,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,18.44389908948566,12.84915097368421,11.408458666666665
8g,row,769539383,30,30,source_anchored_shallow,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,21.79772882305938,14.98174570588235,12.471513333333334
8g,row,769539383,30,30,source_anchored_shallow,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,12.325262611675068,5.142709956140352,2.6285358333333333
8g,row,769539383,30,30,source_anchored_shallow,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,6.8179023489296515,5.456398790598289,4.752195333333333
8g,row,769539383,30,30,source_anchored_shallow,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,17.02604485151794,13.50449499122807,12.235283000000003
8g,row,769539383,30,30,source_anchored_shallow,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,25.154240330065164,20.965639916666664,17.050984999999997
8g,row,769539383,30,30,source_anchored_shallow,V2,EA,low,,,,40,17.36884869583944,11.48591395,6.901548999999999
8g,row,769539383,30,30,source_anchored_shallow,V2,EA,mid,,,,55,9.53996855661718,6.0816953393939395,3.3962046666666623
8g,row,769539383,30,30,source_anchored_shallow,V2,EA,high,,,,20,8.742202716867247,6.3731769583333335,5.180755333333332
8g,row,769539383,30,30,source_anchored_full,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,4.9311207832745065,3.4160185271604946,2.691705
8g,row,769539383,30,30,source_anchored_full,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,3.545831991291425,2.8052258500000002,2.3726876666666668
8g,row,769539383,30,30,source_anchored_full,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,14.09621322596262,10.55549040860215,9.078608
8g,row,769539383,30,30,source_anchored_full,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,21.28972698960622,19.212943866666667,16.600060499999998
8g,row,769539383,30,30,source_anchored_full,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,7.135475132986526,3.053820396491228,1.5214181666666668
8g,row,769539383,30,30,source_anchored_full,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,4.093178442607289,3.4553480316239313,3.4635099999999994
8g,row,769539383,30,30,source_anchored_full,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,11.767337393584452,9.079953429824561,7.074966833333334
8g,row,769539383,30,30,source_anchored_full,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,16.518027159503276,14.632011305555556,14.40022
