column,protocol,method,best_epoch_mean,best_epoch_min,best_epoch_max,epochs_run_mean,wall_seconds_mean,replay_draws_mean,replay_unique_mean,cap_hits,first_5_epoch_selections
25g,compound,source_anchored_full,126.65,5,295,226.65,55.565453722793606,12701.6,3024.3,0,1
25g,compound,source_anchored_shallow,163.95,64,474,259.0,58.933368539446384,14893.7,3077.8,2,0
25g,compound,standard_full_finetune,145.6,43,500,240.6,36.134175733343,0.0,0.0,1,0
25g,compound,standard_shallow_finetune,85.1,58,152,185.1,22.611560618749355,0.0,0.0,0,0
25g,row,source_anchored_full,114.95,3,256,214.95,70.26355699380073,11476.9,2965.75,0,4
25g,row,source_anchored_shallow,379.05,102,500,428.05,144.46968301450252,23923.6,3224.95,12,0
25g,row,standard_full_finetune,174.05,7,499,264.7,58.716684239495955,0.0,0.0,3,0
25g,row,standard_shallow_finetune,211.25,52,500,291.25,57.957234485345545,0.0,0.0,4,0
40g,compound,source_anchored_full,201.85,102,288,301.85,91.12942901260249,16763.05,3189.85,0,0
40g,compound,source_anchored_shallow,216.7,152,259,316.7,89.33882262084808,17691.3,3200.25,0,0
40g,compound,standard_full_finetune,323.85,9,500,388.25,71.88597561675415,0.0,0.0,9,0
40g,compound,standard_shallow_finetune,326.6,146,500,399.2,64.30854520214635,0.0,0.0,6,0
40g,row,source_anchored_full,205.9,86,439,303.95,105.29698802094936,15951.4,3181.3,1,0
40g,row,source_anchored_shallow,425.8,178,500,458.7,138.88324873545207,26189.4,3243.5,15,0
40g,row,standard_full_finetune,240.15,110,401,340.1,60.659231002102025,0.0,0.0,1,0
40g,row,standard_shallow_finetune,357.15,176,500,415.3,69.61328626044997,0.0,0.0,9,0
8g,compound,source_anchored_full,36.5,3,110,136.5,56.46522701674985,7362.95,2750.15,0,3
8g,compound,source_anchored_shallow,83.0,19,424,181.8,68.64638109570369,10225.2,2841.05,1,0
8g,compound,standard_full_finetune,13.3,2,28,113.3,25.701068495849903,0.0,0.0,0,5
8g,compound,standard_shallow_finetune,39.4,15,345,139.4,23.587731868747504,0.0,0.0,0,0
8g,row,source_anchored_full,100.35,3,304,200.35,68.79315126655274,11783.7,2883.6,0,4
8g,row,source_anchored_shallow,192.6,16,495,279.35,79.3422668499974,15310.7,3065.5,4,0
8g,row,standard_full_finetune,49.2,3,469,145.75,26.47366808760271,0.0,0.0,1,3
8g,row,standard_shallow_finetune,78.9,34,307,178.9,29.363735002148314,0.0,0.0,0,0
