column,protocol,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse
25g,compound,conditional_EA,0.8635054002123658,13.007012448377797,8.17191280385011,0.8776937731364611,19.75875013367831,12.820697919174744,1.4560400629159491
25g,compound,conditional_policy,0.8608399631861904,13.097855063623053,8.268387464640547,0.8789810089401531,19.671739125288937,12.775982702219727,1.46059206968609
25g,compound,local_identity_shrinkage,0.8417290369204495,13.951885312541373,8.908752431390695,0.8778334181094012,19.7581037021337,12.490095411441349,1.5250875043832732
25g,compound,scale_only,0.8225337234906501,14.758612543842066,10.331154562592882,0.8563839924131436,21.34056107753612,15.007826110662066,1.6239147526341544
25g,compound,source_anchored_full,-0.19248008066888123,38.526232202010945,25.81424761953304,-0.1797703614146987,61.2844888743297,41.82955180833173,4.385042100369541
25g,compound,source_anchored_shallow,0.3661557450856394,27.822892856628176,17.240312988962497,0.3731801449161019,44.19918983712237,27.291879773447114,3.1652253988583023
25g,compound,standard_full_finetune,0.41137482431982636,26.569747361399465,17.1565195563893,0.4597086136708848,41.1863207751682,26.174547846786247,2.995697019233989
25g,compound,standard_shallow_finetune,0.6903173360708154,19.554305883409832,11.93979901690123,0.7822586410369035,26.282030860379713,16.030415881903487,2.102371605653519
25g,compound,target_head_only,0.48392745195618303,25.351709715061922,14.500641660582644,0.33598283492752146,46.039765274930595,28.921656425553994,3.046238435703762
25g,row,conditional_EA,0.76826869390842,17.782383089258172,9.13158313541296,0.8146121125452022,25.297605576502395,15.036671370344061,1.9476341324116728
25g,row,conditional_policy,0.7655092483588779,17.885863112834848,9.282905337994784,0.8128552567276808,25.427507614160394,15.154480915279796,1.958534263082758
25g,row,local_identity_shrinkage,0.7464223643023925,18.612369417622066,9.915754826892096,0.8116429952673201,25.526175322783697,15.151752644992422,2.0143530207844833
25g,row,scale_only,0.7379488067762582,18.881781074264048,10.687139091419404,0.7915170243626837,26.821600196102015,15.815491894096127,2.0655435421150585
25g,row,source_anchored_full,-0.28446332558021875,41.847723228599605,28.412469444285716,-0.2241666392018496,65.3356476663237,44.44540165530613,4.729345561111584
25g,row,source_anchored_shallow,0.558643390396829,24.087698405679742,13.976033219183673,0.5542207882537618,38.70360016592247,22.39141724020408,2.7520957997607045
25g,row,standard_full_finetune,0.44321564322864715,27.514393564936405,16.05901760408163,0.5636585915754841,38.98993319579183,22.43316383285714,3.008538623049291
25g,row,standard_shallow_finetune,0.7752685401886581,17.375091306064125,10.1569909622449,0.8090070885907312,25.661762923805895,14.89888186530612,1.9287237540783415
25g,row,target_head_only,0.4112795170391014,28.27711721985752,16.04401590102041,0.270070207497312,50.361984456760396,30.67824054489796,3.369085363355486
40g,compound,conditional_EA,0.759812893871384,31.844720031971008,18.640082117389333,0.7675872378922594,43.45523928242005,28.433227627299157,3.4414685293870755
40g,compound,conditional_policy,0.732092814324084,33.574458308284804,20.075574358263303,0.7916240584378402,40.965248488690015,23.082901890504754,3.510858062174185
40g,compound,local_identity_shrinkage,0.7320928144861489,33.57445829878806,20.075574361200726,0.7916240580522813,40.96524852284305,23.082901926659495,3.510858062232456
40g,compound,scale_only,0.7151053171398959,34.73907025761934,24.33405966682828,0.7749381211887222,42.70940345154804,28.51458663071936,3.640323237953629
40g,compound,source_anchored_full,-0.7319648162618139,86.40713996837182,60.41884508205685,-0.747167659043422,120.95768609087159,85.58677888211416,9.404455444036923
40g,compound,source_anchored_shallow,0.3121225564253058,54.524082477687465,30.87262464592978,0.3297969665676138,75.1431342323549,42.96371907085078,5.90572035235154
40g,compound,standard_full_finetune,-0.0838664694022779,64.977535540663,42.65313711146602,-0.10915848437507898,89.61020296989783,58.17555332105835,7.043621090677647
40g,compound,standard_shallow_finetune,0.6727233627969367,37.457475034118524,21.986353527182423,0.7195854544146714,48.26727033726297,28.52919704885965,3.9763609835967166
40g,compound,target_head_only,-0.16943167314680227,70.9857320379044,47.326327982223404,-0.26141137525890185,102.75106928510104,71.60155688082845,7.811306099879597
40g,row,conditional_EA,0.816767902785605,29.986364443555328,17.310620551679694,0.8572505419483456,36.19062203548,20.71155045621929,3.127743481094568
40g,row,conditional_policy,0.8088174393903664,30.5211727580455,18.01844486573191,0.8568644189155815,36.23521481675821,20.701452533258134,3.170615317617801
40g,row,local_identity_shrinkage,0.7792216182038045,32.91082162485149,19.998601571105855,0.85040315935472,37.060979506673874,20.692908729148147,3.374172274189104
40g,row,scale_only,0.7438719240594336,35.427889801471615,24.63937993535088,0.8034388696935097,42.66069450165374,28.527949769501436,3.6923894395538284
40g,row,source_anchored_full,-0.3996053962737719,83.34834241275945,56.243332077547166,-0.43586820261934633,116.42694062674188,80.92929199792452,9.064948109643925
40g,row,source_anchored_shallow,0.5014748052342781,49.78626563615511,29.642930125384908,0.5117367364132832,67.8636120796232,42.09832268777358,5.373430828891918
40g,row,standard_full_finetune,0.5681361572988995,45.75119135428415,31.428435530566038,0.5807626921053708,62.30279702086407,43.64703399207547,4.936405431055825
40g,row,standard_shallow_finetune,0.8197570354395683,29.838560539138996,17.66580217735849,0.8545757275288463,36.95226770066789,22.280033449056603,3.1325782931416923
40g,row,target_head_only,-0.0826711366033404,73.47718167848991,46.412262465094344,-0.17879412401953496,105.72422246758401,71.15742105849056,8.069101930743612
8g,compound,conditional_EA,0.8720204744795762,6.104701275933916,3.167844763139793,0.9093081858872674,8.636323624726101,4.753561939757558,0.6683032574118417
8g,compound,conditional_policy,0.8694967677094503,6.163633667724191,3.383652874540348,0.908293579903137,8.765291073532026,4.5524165471128555,0.6751199243766203
8g,compound,local_identity_shrinkage,0.8766197648118592,5.994230328535217,3.255317479383515,0.9094579154313746,8.594078496786953,4.746288544080841,0.6604395058533055
8g,compound,scale_only,0.8531615453952364,6.530218908283933,3.781959607929605,0.9090830967789453,8.720369229116532,4.56068995390916,0.7016671031227558
8g,compound,source_anchored_full,0.4029770158539108,13.218402757362398,7.67934685697085,0.477232389617429,21.30253360401837,12.29489075961305,1.5124438939526834
8g,compound,source_anchored_shallow,0.7249916791086662,8.900258701952309,4.9614356241375015,0.7368580461080791,14.918370883647821,8.4890271548859,1.0357485227886392
8g,compound,standard_full_finetune,0.5396588552707507,11.457051002122665,6.458307044888554,0.5280708391826054,19.202758379845875,10.526346785827764,1.332963978443279
8g,compound,standard_shallow_finetune,0.833725860124502,6.857981459882469,3.521736935085425,0.8728894507512486,10.27115634770001,5.14642153935357,0.7653508151521337
8g,compound,target_head_only,0.8823643720897796,5.851476734994996,3.041075287710778,0.8866585668776349,9.883190441643091,4.70007942640388,0.6843030240317542
8g,row,conditional_EA,0.8492178951095459,6.513088820863658,3.4665793992711533,0.8693309258398557,9.42061488075969,5.550908968112802,0.7220037217647206
8g,row,conditional_policy,0.8491656413036195,6.513017461781452,3.547852553413649,0.8695915103976913,9.411095894840011,5.563606270701564,0.7217784023035388
8g,row,local_identity_shrinkage,0.8506068019846685,6.473451191563934,3.5495738370079493,0.8683450789164215,9.460178049036895,5.636231183028802,0.7201366293855279
8g,row,scale_only,0.852852017862331,6.1985406821766675,3.8248837147187054,0.8746235057926747,9.243614384224859,5.519750429236308,0.6904829851657632
8g,row,source_anchored_full,0.6407466763342163,10.509831160246094,5.385609983594203,0.6598191429528943,16.061472460871926,9.106626567246376,1.1800419157889854
8g,row,source_anchored_shallow,0.7517722730636918,8.29879356747475,4.789268552695651,0.7827094457873798,12.426685771521582,7.663953896115942,0.9250168811374424
8g,row,standard_full_finetune,0.5727118517244457,11.114359280946735,6.2492476375072465,0.5925805589878639,17.164957516753766,9.723976829855072,1.2573610790021215
8g,row,standard_shallow_finetune,0.8598785678959843,6.214064196050153,3.555343220637681,0.8680231875963076,9.699509948139674,5.738115231304347,0.7034445878728814
8g,row,target_head_only,0.8633700883230475,6.069854543700356,3.3430514278840575,0.8787585535135234,9.122946677466814,5.297948515362319,0.6789053550551098
