selection_order,canonical_index,sample_id
0,1500,942b8fc9cf013acda52b
1,4011,0dccaa29989ef4956786
2,2248,04ea307c7b7f3321cc20
3,2585,13f4ada439a309a538b8
4,2067,5e276c1730fc0a9deba7
5,1867,e8f592c469b2f3c136d8
6,2360,8a4623d640cc619f2639
7,831,b4351e5f05f6d477a6c0
8,1935,38e6b8bf0f089fcadd80
9,2148,79ff49052bce33597828
10,2245,eb151126b40eda411ab7
11,1882,d05a91dc8e32e9edd7d0
12,837,e4fd83fb3852eb354a66
13,851,24a9086a8e2c8015c232
14,4139,a36291cab664852df5e5
15,566,48679ae48dd485ffb7a6
16,3795,dc9e3983cd4f98689fa7
17,650,485f8bcfb08d6eaf3463
18,692,c5a12771920c4410d921
19,2242,ce58f28250c053410654
20,350,37c15d90032e66347ed6
21,1900,b85305d91a9e7cfa6005
22,3931,79cb1738d945317e5bfa
23,984,449b809e4efaaf2af86a
24,3605,0cf0d36290765378ae8d
25,195,4b39568fb3ff725fec83
26,2163,ad833f34f6b91872362d
27,3929,6b5982c6e1bbaadd6a95
28,547,f402144b8672dd5ab2ab
29,3358,b6a2baaa0410b39ac474
30,3281,a6a0404c3ad65c6d9326
31,691,5497a50fcc16a8bf1a07
32,1496,d5234e966aa231be05e5
33,1490,ebf38d80f4c5674cf120
34,3909,c6bd64a77e94e93e5018
35,1933,65f6e8326897810ec715
36,4137,b6dc1ec0dbd724128ce3
37,980,810b065b0b86ff8c9aae
38,2285,aa83ae83c0fa0cc37777
39,669,a928362cc115f586e865
40,220,7654c7dcf0123ab04d15
41,2027,59ce141f6f9f30603132
42,528,f4a4fc4d6e4dea59b061
43,1577,22214579a593fa764fe8
44,561,10aed2ae6d65e00f993a
45,2322,2cf4f6424b85ab121943
46,3194,975d484a29fb5011f336
47,1977,5da8c25a3982216fb112
48,2339,8f5452ff0e84ab2e2057
49,2064,ce14dd2481560a984aea
50,939,6a39aff909ea35989c74
51,2310,53280227ec79d55f1912
52,224,af23f4f96549d4e1659f
53,1381,80f546c47198fa7c6dbf
54,1376,c06e784aecc76cea9d63
55,3675,3f59bb6766ef6551502f
56,3599,b8268449dc991ce92f3d
57,2049,76b4150b436d217e5b3e
58,977,1e77ce24daad192212f6
59,473,bdfa3c592507c0609ee1
60,1921,a47a3987d45e7c542d38
61,2390,3cd0aa35793392d15513
62,2414,3163a9b58f1a52a1992c
63,3876,fa6fd34875fdc7acf6c1
64,4046,605436d35600502e8c2e
65,3800,8bef7f788af60df5e18a
66,2660,425fe9dfe0c3f345460b
67,1949,c70b471334f9747d6f98
68,2563,a6145bb0c9947f9515df
69,4024,f4331eb64b6774466836
70,273,07a55cdab65b05f31561
71,442,3fc05dc2025715e68174
72,1998,1c1d7ff3d6c495744916
73,3582,ffc70e28db22d1cc1f3f
74,3777,bed2f1430d0964e86fcb
75,1096,fce2741d123dd81a8fa6
76,1190,fde9781e6b15ffbe093f
77,2231,e598b9cf54086c1c64b2
78,714,a4898d78d5aa9b218bf4
79,3644,6020a000a87663526cc8
80,3908,5a279bc25d91d033acdc
81,3064,a2dbe14788c85f0974a9
82,829,487606cee9b08ded91f3
83,1264,74c8fcd8ac3f6caedcd2
84,2663,2b97a1e0a6a4b944b760
85,1536,1a53d7b807a4a60e963e
86,4037,2029b30e714e5ff498bf
87,2151,59b54ad3a60a52cc2b2c
88,1463,fe212637596386c24049
89,2411,87265e4a49086b6ac4eb
90,4125,49201b5817f204116f7f
91,2070,b514312eda7950cdcf1c
92,1116,a4c8259421a3aa5edeea
93,1948,073e6abf4d3bfffc2761
